"Motif Reference","Motif Title","Location / Tradition",Latitude,Longitude,"Narrative Text",source,berezkin,other_data
,N/A,Germany,51.083,10.426,"Changelings in the Water
Jacob and Wilhelm Grimm, German Legends
Near Halberstadt a peasant had a killcrop that sucked its mother and five wet nurses dry, all the while eating voraciously (for they eat more than ten other children). It behaved in such a manner that they became tired of it. The peasant was advised that he should take the child on a pilgrimage in praise of the Virgin Mary to Heckelstadt and have him weighed at that place.
The good peasant followed this advice. He put the child in a pack basket and set forth carrying it on his back. He was about to cross over a stream on a bridge when he heard a shout from the water beneath him: ""Killcrop! Killcrop!""

The child in the basket, who had until now never spoken a word, answered: ""Ho! Ho!"" The peasant did not expect this, and it startled him.

Then the devil in the water asked further: ""Where are you going?""

The killcrop above answered ""I am going to Heckelstadt to our Dear Lady, and have myself weighed, that I might thrive.""

When the peasant heard that the changeling could talk perfectly well, he became angry and threw him, together with the basket, into the water. Then the two devils came together, cried out ""Ho! Ho! Ha!"" and frolicked and jousted with one another, and then disappeared.

",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=KzKJuAlKlzoRJzSvR6gvkYlE,N/A,
,N/A,Germany,51.083,10.426,"The Underground People Steal a Child
Karl Bartsch, Legends, Tales, and Customs from Mecklenburg
According to an old woman from Witzin, in her village and in the entire district of Sternberg, it was formerly the practice to keep a light burning all night in the vicinity of a newborn child until it was baptized. A certain woman who failed to do this had her child stolen by the underground people, and they laid one of their own in its place.
The woman noticed the exchange the next day and asked her neighbor for advice. She told her that she should ""brew through an egg."" The mother followed this advice, and the changeling, who until now had not uttered a sound, cried out:

I am as old
As Bohemian gold,
But I have never seen such brewing.
At this the woman cried out: ""To the devil with you! You are not my child!"" Then there was a great commotion, and the changeling disappeared, and the mother got back her own child.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=PjfaKqBNnzp6dQgCDTSDGPLN,N/A,
,N/A,Germany,51.083,10.426,"The Changeling
Jacob and Wilhelm Grimm, German Legends
At Hessloch near Odernheim in the Gau the servant and the cook of a clergyman were living together as man and wife, although they had not been able to have their relationship publicly consecrated. They had a child together, but it failed to grow and gain weight. It cried day and night, always demanding to be fed.
Finally the woman sought advice, and was told that the baby would improve if she would take it to Neuhausen on the Cyriak Meadow, have it weighed there, and give it water from the Cyriak Spring. At that time it was believed that in such cases a child thus would be restored to health or would die within nine days. [Note 1]

As the woman approached the millrace near Westhofen, the child, whom she was carrying on her back, became so heavy that she began to pant, and the sweat began running from her face. At that moment a traveling student approached her, saying: ""Woman, what sort of wild creature are you carrying? It will be a miracle if it doesn't break your neck!""

She answered that it was her own dear child that would neither grow nor gain weight, and that she was therefore taking it to Neuhausen to have it weighed.

He replied: ""That is not your child! It is the devil! [Note 2] Throw him into the brook!""

She did not want to do this, insisting that it was her child while kissing it.

He continued: ""Your child is at home in a new cradle behind the chest in the side room. Throw this monster into the brook!""

Crying and sobbing she did has she had been told. Immediately there issued a great cry and commotion from beneath the bridge she was standing on, like the howling of wolves and bears. And when the mother arrived home, she found her baby, hearty and healthy, laughing in its new cradle.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=BNOvoLZxF7peMGUu8xNORYIB,N/A,
,N/A,Icelanders,64.5,-20,"At a certain farm, long ago, it happened that all the household were out one day, making hay, except the farmer's wife and her only child, a boy of four years.
He was a strong, handsome, lusty little fellow, who could already speak almost as well as his elders, and was looked upon by his parents with great pride and hope.

As his mother had plenty of other work to do besides watching him, she was obliged to leave him alone for a short time, while she went down to the brook to wash the milk pails. So she left him playing in the door of the cottage, and came back again as soon as she had placed the milk pails to dry.

As soon as she spoke to the child, it began to cry in a strange and unnatural way, which amazed her not a little, as it had always been so quiet and sweet tempered. When she tried to make the child speak to her, as it normally did, it only yelled the more, and so it went on for a long time, always crying and never would be soothed, till the mother was in despair at so remarkable a change in her boy, who now seemed to have lost his senses.

Filled with grief, she went to ask the advice of a learned and skillful woman in the neighborhood, and confided to her all her trouble.

Her neighbor asked her all sorts of questions: How long ago this change in the child's manner had happened? What his mother thought to be the cause of it? and so forth. To all of which the wretched woman gave the best answers she could.

At last the wise woman said: ""Do you not think, my friend, that the child you now have is a changeling? Without doubt it was put at your cottage door in the place of your son, while you were washing the milk pails.

""I know not,"" replied the other, ""but advise me how to find it out.""

So the wise woman said: ""I will tell you. Place the child where he may see something he has never seen before, and let him fancy himself alone. As soon as he believes no one to be near him, he will speak. But you must listen attentively, and if the child says something that declares him to be a changeling, then beat him without mercy.""

That was the wise woman's advice, and her neighbor, with many thanks for it, went home.

When she got to her house, she set a cauldron in the middle of the hearth, and taking a number of rods, bound them end to end, and at the bottom of them fastened a porridge spoon. This she stuck into the cauldron in such a way that the new handle she had made for it reached right up the chimney.

As soon as she had prepared everything, she fetched the child, and placing him on the floor of the kitchen left him and went out, taking care, however, to leave the door ajar, so that she could hear and see all that went on.

When she had left the room, the child began to walk round and round the cauldron, and eye it carefully, and after a while he said: ""Well! I am old enough, as anybody may guess from by beard, and the father of eighteen elves, but never in all my life, have I seen so long a spoon to so small a pot.""

On hearing this the farmer's wife waited not a moment, but rushed into the room and snatching up a bundle of firewood flogged the changeling with it, till he kicked and screamed again.

In the midst of all this, the door opened, and a strange woman, bearing in her arms a beautiful boy, entered and said, ""See how we differ! I cherish and love your son, while you beat and abuse my husband.""

With these words, she gave back to the farmer's wife her own son, and taking the changeling by the hand, disappeared with him.

But the little boy grew up to manhood, and fulfilled all the hope and promise of his youth.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=T9ms4jhWW46Va7KuwJ5g745V,N/A,
,N/A,Germany,51.083,10.426,"The Two Underground Women
Jacob and Wilhelm Grimm, German Legends
The following story was told to Prätorius by a student, whose mother claimed that it happened in Dessau.
A woman gave birth to a child and laid it next to herself. She fell into a deep sleep. The child had not yet been baptized. At midnight two underground women came in and made a fire on the hearth. They placed a kettle of water over the fire. Then they bathed the child they had brought with them in the water, and carried it into the woman's room where they exchanged it for her sleeping child.

They took the child away, but upon arriving at the first hill, they began fighting over it, throwing it back and forth at each other like a ball. The child began to cry, which woke up the housemaid. She looked at the underground women's child and realized that an exchange had taken place. She ran to the front of the house, where she found the women arguing about the stolen child. She stepped into the fray and caught the child as they were throwing it back and forth. With the child in her arms she ran home. She placed the changeling outside the door, and the hill-women came and took it back.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=tIe5goxX7qiY3vPzkG2GpVUb,N/A,
,N/A,"Shetland Islands",N/A,N/A,"The Shetlanders believe in two kinds of trows, as they call the Scandinavian trolls, those of the land and those of the sea. The former, whom, like the Scots, they also term the guid folk and guid neighbors, they conceive to inhabit the interior of green hills. Saining (blessing oneself) is the grand protection against them; a Shetlander always sains himself when passing by their hills. They have all the picking and stealing propensities of the Scandinavian trolls.
Lying-in women and ""unchristened bairns"" they regard as lawful prize. The former they employ as wet nurses, the latter they of course rear up as their own. Nothing will induce parents to show any attention to a child that they suspect of being a changeling. But there are persons who undertake to enter the hills and regain the lost child.

A tailor, not long since, related the following story. He was employed to work at a farm house where there was a child that was an idiot, and who was supposed to have been left there by the trows instead of some proper child, whom they had taken into the hills.

One night, after he had retired to his bed, leaving the idiot asleep by the fire, he was suddenly waked out of his sleep by the sound of music, and on looking about him he saw the whole room full of fairies, who were dancing away their rounds most joyously. Suddenly the idiot jumped up and joined in the dance, and showed such a degree of acquaintance with the various steps and movements as plainly testified that it must have been a long time since he first went under the hands of the dancing master. The tailor looked on for some time with admiration, but at last he grew alarmed and sained himself.

On hearing this, the trows all fled in the utmost disorder, but one of them, a woman, was so incensed at this interruption of their revels, that as she went out she touched the big toe of the tailor, and he lost the power of ever after moving it.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=vaOlLTacHQsbKKYJSuFufsc2,N/A,
,N/A,Icelanders,64.5,-20,"One strange weakness in the character of the elf-women is their propensity to steal or change human children. They go to the cradles of young babies, and take with them their husbands, eighty years old, whom they knock, and kick, and squeeze until they are small enough to get into the cradle, whereupon the change takes place.
It is, therefore, a very dangerous thing to leave a child alone in the cradle, save one put the mark of the cross at least over or upon him; but the best plan is to place it both over and under the infant. Another plan, likewise, is to leave with the child a Bible, or a book of hymns, or some other religious work, which will effectually prevent any evil being or changeling from approaching the cradle.

As the cradle-child they leave behind is, in reality, nothing but an old man, toothless and hairless, the changeling will never cut teeth, nor will his hair grow. The finest children are the most sought for, and the most hideous oldling is put in their place. The temper of the changeling is unchangeable; he is always ill-humoured and naughty, and can be satisfied by no possible means.

The only way to get rid of such an one is to flog him so thoroughly that his cries may reach to the ears of his elfin consort or relative, who then will be sure to return the stolen child and rescue her own oldling from his torments .

Elves try in another way also to change children, namely, by charms. When human children happen to be left alone, in or out of doors in a farm, elf-women will often, putting on both form and dress of their mother, or someone whom they love, approach them in order to lure them away from home.

The faster the false mother runs, the faster the poor child will follow her, stretching forth its hands towards her, crying: ""Take me, take me!""

These charmed children run always at a preternatural speed after the elfin-enticer; and when they are missed before they have yet got out of sight, it requires an almost more than human power to overtake them, and not the less so to bring them back to reason. Some have been lost completely, and have passed for good into the invisible world of the elves.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=gHR71jiG64PxHEyDIV3rScCT,N/A,
,N/A,Germany,51.083,10.426,"A miller, who was so poor that he had nothing more than his mill and a large apple tree which stood behind it, went into the forest to gather wood.
There he was approached by an old man, who said, ""Why do you torment yourself so? I will make you rich if you will sign over to me that which is standing behind your mill. I will come and claim it in three years.""

The miller thought, ""That is my apple tree,"" agreed, and signed it over to the man.

When he came home, his wife said to him, ""Miller, where did all the wealth come from that suddenly has filled every chest and cupboard in our house?""

""I received it from an old man in the forest by signing over to him that which is standing behind the mill.""

""Husband!"" said the woman, terrified. ""This is going to be very bad. The old man was the devil, and he had our daughter in mind, who was just then standing behind the mill sweeping the yard.""

Now the miller's daughter was very beautiful and pious. Three years later when the devil came, early in the morning, and wanted to take her, she had drawn a circle around herself with chalk and had washed herself clean.

Therefore the devil could not approach her, and angrily he said to the miller, ""Keep wash-water away from her, so she cannot wash herself any more, and I can have power over her.""

The miller was frightened and did what he was told. The next day the devil returned, but she had wept into her hands and washed herself with her tears, and was entirely clean.

Because the devil still could not approach her, he was very angry, and ordered the miller, ""Chop off her hands, so I can get to her.""

The miller was horrified and answered, ""How could I chop off my dear child's hands? No, I will not do it.""

""Then do you know what? I will take you, if you don't do it!""

That frightened the miller terribly, and driven by fear he promised to do what the devil had ordered.

He went to his daughter and said, ""My child, the devil will take me if I don't chop off both your hands, and I have promised him that I will do it. I beg for your forgiveness.""

""Father,"" she said, ""do with me what you will,"" stretched forth her hands, and let him chop them off.

The devil came a third time, but she had wept so long onto her stumps, that she was still entirely clean, and the devil had lost all power over her.

The miller, because he had become so wealthy through her, promised to take the best care of her for the rest of her life, but she did not want to remain there.

""I must leave here,"" she said. ""Compassionate people will give me enough to keep me alive.""

She had the chopped-off hands tied to her back, and she set forth with the rising sun, walking the entire day until evening, when she came to the king's garden. There was a gap in the garden hedge. She went inside, found a fruit tree, shook it with her body until the apples fell to the ground, bent over and picked them up with her teeth, and ate them. Thus she lived for two days, but on the third day the garden watchmen saw her, captured her, and threw her into prison.

The next morning she was brought before the king and sentenced to be banished from the land, but the prince said, ""Wait, wouldn't it be better to let her tend the chickens in the courtyard?""

So she stayed there for a time and tended the chickens. The prince saw her often and grew very fond of her.

Meanwhile the time came when he was to get married. Messengers were sent everywhere in the world to find him a beautiful bride.

""You needn't look so far and wide,"" he said. ""I know where one is very nearby.""

The old king pondered this back and forth, but he could not think of a single maiden in his kingdom who was both beautiful and rich.

""You surely don't want to marry the one who tends the chickens in the courtyard?""

But his son declared that he would marry no one else, so finally the king had to agree. Soon afterward he died, and the prince succeeded him as king and lived happily for a time with his wife.

Once the king had to go away to war, and during his absence his wife gave birth to a beautiful child. She sent a messenger with a letter telling her husband the joyful news. On the way the messenger stopped to rest by a brook and fell asleep. The devil, who was still trying to harm her, came to him and exchanged the letter with one that stated that the queen had given birth to a changeling. The king was very saddened to read this, but he wrote that the queen and the child should be well cared for until his return. The messenger started back with this letter. When he stopped to rest at the same spot and fell asleep, the devil again appeared, this time exchanging the king's letter with one that ordered the queen and the child to be driven from the kingdom. This had to be done, however much the people all wept with sorrow.

""I did not come here to become queen,"" she said. ""I have no luck, and I demand none. Just tie my child and my hands onto my back, and I will set forth into the world.""

That evening she came to a place in a thick forest where a good old man was sitting by a spring.

""Be so kindhearted as to hold my child to my breast until I have nursed him,"" she said.

The man did that, after which he said to her, ""Go to that thick tree over there and wrap your maimed arms around it three times!""

And when she had done this, her hands grew back on. Then he showed her a house.

""You can live there,"" he said, ""but do not go outside, and do not open the door for anyone unless he asks three times to come in, for God's sake.""

Meanwhile the king returned home and discovered how he had been deceived. Accompanied by a single servant he set forth, and after a long journey he finally happened, one night, into the same forest where the queen was living, but he did not know that she was so close to him.

""There is a little light from a house back there,"" said his servant. ""We can rest there.""

""No,"" said the king. ""I do not want to rest so long, but rather to continue searching for my wife. I cannot rest until I find her.""

But the servant begged so much and complained so about his weariness that out of compassion, the king gave in. When they came to the house, the moon was shining, and they saw the queen standing by the window.

""That must be our queen; she looks just like her,"" said the servant, ""but I see now that she is not the one, for this one has hands.""

The servant asked her for shelter, but she refused, because he had not asked ""for God's sake.""

He was about to go on and seek another place for their night's lodging when the king himself came up and said, ""Let me in, for God's sake!""

""I cannot let you in until you have asked me three time, for God's sake,"" she replied.

And after the king had asked two more times, she opened the door. His little son ran to him and led him in to his mother. The king recognized her immediately as his beloved wife. The next morning they all journeyed together back to their kingdom, and as soon as they had left the house, it disappeared behind them.

",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=BLAhtklBP0NHiUrVZq8xD8Yv,N/A,
,N/A,Germany,51.083,10.426,"The Changeling of Cüstrinichen
J. G. Th. Grässe, Legend Book of the Prussian State
In the year 1565 in the village of Cüstrinichen in the New Mark Brandenburg, the wife of a peasant named of Andreas Prawitz gave birth to a child who was baptized with the name Matthias. The child originally appeared to be perfectly normal, but by the time it had reached the age of twenty it still lacked all reason, and had developed a repulsive appearance. And even though it reached the legal age of majority and had a beard upon its chin, it never learned to stand or to walk or even to speak. When it was hungry it just whimpered or bellowed. It could not move from one place to the next, and did nothing but eat and drink. Many people thought that it must be a killcrop or a changeling, of the kind that Luther discusses in his works.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=gKZ355wrrZyhNbLlJCoetYtu,N/A,
,N/A,Germany,51.083,10.426,"The Changeling
Karl Haupt, The Legend Book of Lausitz
A child must always have someone nearby until it is six weeks old. Otherwise, an old woman from the woods or the mountains could come and exchange a physically and mentally retarded, malformed changeling for the infant. At the very least, one must place a hymnbook near the child's head before leaving the room. However, if--through negligence--the misfortune does occur, you should take prompt notice of it. Then you need only make a switch from the branches of a weeping birch tree and beat the changeling severely with it. The old woman will respond to his cries by bringing back the exchanged child and taking the beastly child away. You must allow her to depart unhindered, neither scolding nor cursing her, otherwise you will be left with the changeling hanging on your neck.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=WvXEHVsIzfrzMshh0qX5wpNa,N/A,
